ID,Description,Entry_ID,Comment,Media_IDs,Semantic_Domain,alt_translation1
SN002900,cuckoo (imperfective aspect),LX002106,,,,куковать
SN002901,hide; skin; leather,LX002107,,,Body part,шкура; кожа
SN002902,godekan,LX002108,,,Housing & Lifestyle; Toponym,заседание; собрание; годекан
SN002903,plowman,LX002109,,,Profession,пахарь
SN002904,earthquake happen; shake ground,LX002110,,,,земля трясти
SN002905,skimmer,LX002111,,,Tool,шумовка
SN002906,jacket,LX002112,,,Clothes; Loanword,куртка
SN002907,fox,LX002113,,,Animal,лиса
SN002908,dress,LX002114,,,Clothes,платье
SN002909,shirt,LX002114,,,Clothes,рубашка
SN002910,hem,LX002115,,,,подол
SN002911,cup,LX002116,,,Tool; Housing & Lifestyle; Loanword,кружка
SN002912,be hungry (perfective aspect),LX002117,,,,проголодаться
SN002913,hungry,LX002118,,,,голодный
SN002914,starvation,LX002119,,,,голодание
SN002915,hungry,LX002120,,,,голодно
SN002916,[politeness particle],LX002121,,,,[вежливости частица]
SN002917,mare; female horse,LX002122,,,Animal,кобыла; женская лошадь
SN002918,bitch; female dog; female wolf,LX002123,,,Animal,сука; женская собака
SN002919,bitch,LX002124,,,,сука
SN002920,mean,LX002125,,,,подлый
SN002921,meanness; shame; shameful thing,LX002126,,,,подлость; срам; постыдное дело
SN002922,bitch; scoundrel,LX002127,,,,сука (о человеке); подлец
SN002923,brick earth,LX002128,,,,жёлтая глина
SN002924,stink; stench,LX002129,,,,вонь
SN002925,smell,LX002129,,,,запах
SN002926,smell (perfective aspect); stink (perfective aspect); spoil (perfective aspect),LX002130,,,,пахнуть; портиться
SN002927,smell,LX002131,,,,нюхать
SN002928,tendon; sinew,LX002132,,,Body part,сухожилие
SN002929,[past tense negation suffix],LX002133,,,,[отрицание прошедшее время]
SN002930,wooden bowl,LX002134,,,Tool; Housing & Lifestyle,тазик для теста
SN002931,hunger,LX002135,,,,голод
SN002932,dough scraper,LX002136,,,Tool,скребок для теста
SN002933,beggar,LX002137,,,,голодранец; нищий
SN002934,[suffix for the derivation of free-choice indefinite pronouns],LX002138,,,,[словообразовательный суффих]
SN002935,survivor,LX002139,,,,переживающий
SN002936,spoon,LX002140,,,Tool; Housing & Lifestyle,ложка
SN002937,[suffix for the derivation of pronouns],LX002141,,,,[словообразовательный суффих]
SN002938,kerchief,LX002142,,,Clothes,платок
SN002939,soften (perfective aspect),LX002143,,,,смягчить
SN002940,soften (perfective aspect),LX002144,,,,размягчиться
SN002941,cottage cheese,LX002145,,,Food,творог
SN002942,soft,LX002146,,,,мягкий
SN002943,wrap,LX002147,,,,закутывать
SN002944,wrap (perfective aspect); cover (perfective aspect),LX002148,,,,закутывать; накрывать
SN002945,wrap (imperfective aspect); cover (imperfective aspect),LX002149,,,,закутывать; накрывать
SN002946,cover up (perfective aspect),LX002150,,,,укрыть
SN002947,wrap (perfective aspect); cover (perfective aspect),LX002151,,,,окутать
SN002948,mill-wheel,LX002152,,,Tool; Housing & Lifestyle,мельничное колесо
SN002949,leaf,LX002153,,,Plant,лист
SN002950,receipt,LX002154,,,Loanword,квитанция
SN002951,young calf; heifer,LX002155,,,Animal,тёлка
SN002952,faucet,LX002156,,,Loanword,кран
SN002953,Avar,LX002157,,,Demonym,аварец
SN002954,Avar language,LX002158,,,,аварский язык
SN002955,young bull,LX002159,,,Animal,молодой бык; бычок
SN002956,drop,LX002160,,,,капля
SN002957,dig,LX002161,,,,копать
SN002958,trickle (perfective aspect); drip (perfective aspect),LX002162,,,,лить по каплям
SN002959,drip (imperfective aspect); drop (imperfective aspect),LX002163,,,,капать; падать каплями
SN002960,spade,LX002164,,,Tool,лопата
SN002961,shoulder-blade,LX002165,,,Body part,лопатка
SN002962,row of teeth,LX002166,,,Body part,зубной ряд
SN002963,palate; roof of mouth,LX002166,,,Body part,нёбо
SN002964,denture,LX002166,,,,зубной протез
SN002965,exist upwards,LX002167,,,,иметься наверху
SN002966,little,LX002168,,,,чуть-чуть
SN002967,[suffix for the formation of indefinite pronouns],LX002169,,,,[словообразовательный суффих]
SN002968,squat (perfective aspect); crouch (perfective aspect),LX002170,,,,приседать; присесть на корточки
SN002969,squat (perfective aspect); crouch (perfective aspect),LX002171,,,,присесть на корточки
SN002970,squat (perfective aspect); crouch (perfective aspect),LX002172,,,,присесть на корточки
SN002971,gossiper,LX002173,,,,сплетник
SN002972,squatting,LX002174,,,,на корточках
SN002973,dance in a sabbath,LX002175,,,,танец в присядку
SN002974,belly; stomach,LX002176,,,Body part,живот; желудок
SN002975,calf,LX002177,,,Body part,икра
SN002976,peritoneum,LX002178,,,Body part,брюшина
SN002977,girth,LX002179,,,,подпруга
SN002978,pregnant,LX002180,,,,беременная
SN002979,glutton,LX002181,,,,обжора
SN002980,get pregnant (perfective aspect),LX002182,,,,забеременеть
SN002981,pregnant,LX002183,,,,беременная
SN002982,for free; gratis,LX002184,,,,бесплатный
SN002983,gratis,LX002185,,,,бесплатно
SN002984,second cousin,LX002186,,,Kinship,троюродный брат; троюродная сестра
SN002985,jagged,LX002187,,,,губастый
SN002986,shut up (perfective aspect); be silent (perfective aspect),LX002188,,,,(за)молчать
SN002987,turkey,LX002189,,,Animal,индюк; индейка
SN002988,flirty,LX002190,,,,кокетливый
SN002989,shut up (perfective aspect); be silent (perfective aspect); calm down (perfective aspect),LX002191,,,,замолчать; умолкать; молчать; утихать
SN002990,keep quiet (perfective aspect),LX002192,,,,умолчать
SN002991,bowl,LX002193,,,Tool,чаша
SN002992,litter,LX002194,,,,подстилка
SN002993,rug; mat; small carpet,LX002195,,,Housing & Lifestyle,половик; коврик; циновка
SN002994,wimp; coward,LX002196,,,,трус
SN002995,smelly,LX002197,,,,вонючий
SN002996,two,LX002198,,,Numeral,два
SN002997,lip,LX002199,,,Body part,губа
SN002998,two hundred,LX002200,,,Numeral,двести
SN002999,twins,LX002201,,,,близнецы
SN003000,twice,LX002202,,,Numeral,два раза; дважды
SN003001,second time,LX002203,,,Numeral,второй раз
SN003002,in groups of two,LX002204,,,Numeral,по два; по двое
SN003003,two each,LX002205,,,Numeral,по два; по двое
SN003004,grade two,LX002206,,,Numeral,двойка
SN003005,branch with a fork; slingshot,LX002207,,,,ветка с развилкой; рогатка
SN003006,two; second,LX002208,,,Numeral,второй
SN003007,[genitive case suffix],-la_1,,,,[генитив падеж суффикс]
SN003008,[temporal converb],-la_2,,,,[временное деепричастие]
SN003009,mud; mortar,LX002209,,,,раствор
SN003010,fence,lac,,,Housing & Lifestyle,забор
SN003011,wall,lac,,,Housing & Lifestyle,стена
SN003012,cheese wheel,LX002210,,,,круг сыра
SN003013,wave; flap,LX002211,,,,махать; порхать
SN003014,wag (perfective aspect); fan (perfective aspect); wave (perfective aspect),LX002212,,,,махать; обмахивать
SN003015,wave (imperfective aspect),LX002213,,,,махать
SN003016,be silent,LX002214,,,,молчать
SN003017,mirror,LX002215,,,Housing & Lifestyle,зеркало
SN003018,wander (imperfective aspect); loiter (imperfective aspect),LX002216,,,,бродяжничать; слоняться
SN003019,tramp,LX002217,,,,бродяга
SN003020,lull (perfective aspect),LX002218,,,,убаюкать
SN003021,approved,LX002219,,,,одобренный
SN003022,approbation,LX002220,,,,одобренье
SN003023,upward,lak,,,,вверх
SN003024,stick around (perfective aspect),LX002221,,,,торчать зря
SN003025,vertically,lakle,,,,вертикально
SN003026,grain bundle,LX002222,,,,зерновой пучок
SN003027,throw,LX002223,,,,бросать
SN003028,dispose; remove,LX002224,,,,оставить; удалить; убрать
SN003029,throw away (perfective aspect); dispose (perfective aspect); remove (perfective aspect),LX002225,,,,убрать; выкинуть
SN003030,throw (perfective aspect),LX002226,,,,бросить; кинуть
SN003031,throw (imperfective aspect),LX002227,,,,бросать; кидать
SN003032,get out (perfective aspect),LX002228,,,,убраться
SN003033,throw off (perfective aspect),LX002229,,,,скинуть
SN003034,scatter (imperfective aspect),LX002230,,,,разбрасывать
SN003035,toss up (perfective aspect); throw (perfective aspect),LX002231,,,,подбрасывать; подкинуть
SN003036,throw (perfective aspect),LX002232,,,,подкинуть
SN003037,toss up (perfective aspect); throw (perfective aspect),LX002233,,,,подбрасывать; подкинуть
SN003038,cunning,lamartdex,,,,коварство
SN003039,lightning; glowing; spark,LX002234,,,,искра; блеск
SN003040,lick (perfective aspect),LX002235,,,,лизнуть
SN003041,lick (imperfective aspect),LX002236,,,,лизать
SN003042,shine (imperfective aspect),LX002237,,,,блестеть
SN003043,flame,lami,,,,пламя
SN003044,lightbulb; torch,LX002238,,,Tool; Loanword,лампочка
SN003045,respect,lamus,,,Loanword,уважение
SN003046,show respect (perfective aspect); service (perfective aspect),LX002239,,,,выказать уважение; услужить
SN003047,conscientious; respectful,lamusce,,,,совестливый; уважительный
SN003048,ear,LX002240,,,Body part,ухо
SN003049,earwax,LX002241,,,,сера (ушная)
SN003050,pansy,LX002242,,,Plant,анютины глазки; фиалка трёхцветная
SN003051,ear conch,LX002243,,,Body part,Наружный слуховой проход
SN003052,earwig,LX002244,,,Animal,уховертка
SN003053,fly (imperfective aspect); flutter (imperfective aspect),LX002245,,,,реять; развеваться
SN003054,right,LX002246,,,,правый
SN003055,fried flour,LX002247,,,Food,жареная мука
SN003056,kick out backward (imperfective aspect),LX002248,,,,лягать
SN003057,glow,LX002249,,,,блеск
SN003058,slave,LX002250,,,Loanword,раб
SN003059,slavery,LX002251,,,,рабство
SN003060,smooth (perfective aspect); polish (perfective aspect),LX002252,,,,полировать; разглаживать
SN003061,smooth,LX002253,,,,гладкий
SN003062,affection,LX002254,,,,ласка
SN003063,reassure (perfective aspect),LX002255,,,,успокоить
SN003064,calmly,LX002256,,,,спокойно
SN003065,dough,lazun,,,Food,тесто
SN003066,[spatial case 'on' suffix],-le_1,,,,[локализация ‘сверху’]
SN003067,[perfective converb],-le_2,,,,[перфектное деепричастие]
SN003068,[adverbializer],-le_3,,,,[адвербиализатор ]
SN003069,[emphatic particle],LX002257,,,,[усиленная частица]
SN003070,exist; be located,leb,,,,иметься
SN003071,heron,legleg,,,Animal; Loanword,цапля
SN003072,left,lejlan,,,,левый
SN003073,completely naked,LX002258,,,,совершенно голый
SN003074,Lezgi,lezgi_1,,,,лезгинский
SN003075,Lezgi person,lezgi_2,,,Demonym,лезгин
SN003076,[ergative case suffix],-li,,,,[эргатив падеж суффикс]
SN003077,[oblique stem marker],-li,,,,[косвенный падеж]
SN003078,all; whole; entire,libil,,,,весь; всё
SN003079,whole; entire,libilra,,,,целиком
SN003080,bone; dead person,LX002259,,,Body part,кость; труп
SN003081,bone marrow,LX002260,,,,костный мозг
SN003082,worry,LX002261,,,,переживать
SN003083,worry,LX002262,,,,переживать
SN003084,[suffix for the derivation of numerals],-lim,,,,[числа суффикс]
SN003085,tongue,LX002263,,,Body part,язык
SN003086,lemon,limun,,,Plant; Food; Loanword,лимон
SN003087,wink (perfective aspect),LX002264,,,,моргнуть
SN003088,blink (imperfective aspect),LX002265,,,,мигать
SN003089,note; sign; label,LX002266,,,,заметка; знак; метка
SN003090,note (imperfective aspect),LX002267,,,,отмечать
SN003091,aim (perfective aspect),LX002268,,,,прицелиться
SN003092,liter,litru,,,Loanword,литр
SN003093,gather (imperfective aspect),LX002269,,,,собирать
SN003094,count (imperfective aspect),lugij,,,,считать
SN003095,give (imperfective aspect),LX002270,,,,давать
SN003096,stick (imperfective aspect); adhere (imperfective aspect),LX002271,,,,приставать
SN003097,turn,LX002272,,,,катиться
SN003098,roll (perfective aspect),LX002273,,,,катить
SN003099,roll (imperfective aspect),LX002274,,,,катиться
SN003100,head over heels,LX002275,,,,кувырком
SN003101,write (imperfective aspect),LX002276,,,,писать
SN003102,tree trunk,lulla,,,,ствол дерева
SN003103,eared,LX002277,,,,ушастый
SN003104,saturate (imperfective aspect),LX002278,,,,насыщать
SN003105,become full (imperfective aspect); satiate (imperfective aspect),LX002279,,,,насытиться
SN003106,break (imperfective aspect),LX002280,,,,ломать(ся)
SN003107,grind (imperfective aspect),LX002280,,,,молоть
SN003108,language,LX002281,,,Loanword,язык
SN003109,cut hair (imperfective aspect),LX002282,,,,стричь; постригать
SN003110,shear (imperfective aspect),LX002282,,,,стричь
SN003111,around,lus,,,,вокруг; кругом
SN003112,twist (perfective aspect); twirl (perfective aspect); roll (perfective aspect),LX002283,,,,покрутить; скрутить; закрутить
SN003113,screw in (perfective aspect),LX002284,,,,завинчивать
SN003114,spin (imperfective aspect); whirl (imperfective aspect),LX002285,,,,кружиться
SN003115,twist (imperfective aspect); twirl (imperfective aspect); roll (imperfective aspect),LX002286,,,,покрутить; скрутить; закрутить
SN003116,twist (perfective aspect); roll (perfective aspect); turn over (perfective aspect),LX002287,,,,скручивать; закрутить
SN003117,twist (perfective aspect); roll (perfective aspect); turn over (perfective aspect),LX002288,,,,переворачивать
SN003118,roll over (perfective aspect); flip over (perfective aspect),LX002289,,,,перевернуться; переворачиваться
SN003119,turn off (perfective aspect),LX002290,,,,сворачивать
SN003120,spin (perfective aspect); twist (perfective aspect),LX002291,,,,сучить
SN003121,turn (perfective aspect); unroll (perfective aspect); rotate (perfective aspect),LX002292,,,,повернуть; разворачивать; развернуть(ся)
SN003122,unfold (perfective aspect); turn (perfective aspect); turn around (perfective aspect),lus_sabuqij,,,,разворачиваться
SN003123,turn (perfective aspect); unroll (perfective aspect); rotate (perfective aspect),LX002293,,,,повернуть; разворачивать; развернуть(ся)
SN003124,wrap (imperfective aspect),LX002294,,,,обёртывать
SN003125,screw,LX002295,,,,шуруп
SN003126,braid (imperfective aspect); plait (imperfective aspect); twist (imperfective aspect),LX002296,,,,заплетать; закручивать; свивать
SN003127,bottom,LX002297,,,,дно
SN003128,sole,LX002297,,,Body part,подошва
SN003129,sole; sole of the foot,LX002298,,,Body part,ступня
